品名,最低价,平均价,最高价,规格,单位,发布日期
富士（纸袋Φ85以上）,3.00,3.30,3.60,普通,斤,2013-06-13
富士（纸袋Φ80<85）,2.50,2.90,3.30,普通,斤,2013-06-13
208甜瓜,2.10,2.15,2.20,普通,斤,2013-06-13
落花甜,2.70,2.75,2.80,普通,斤,2013-06-13
冰糖籽,1.70,1.85,2.00,普通,斤,2013-06-13
甜宝,3.00,3.65,4.30,普通,斤,2013-06-13
郁金香,1.40,1.45,1.50,普通,斤,2013-06-13
西州蜜,2.50,2.65,2.80,普通,斤,2013-06-13
久红瑞,1.80,2.00,2.20,普通,斤,2013-06-13
甜蜜,2.00,2.05,2.10,普通,斤,2013-06-13
羊角蜜,2.50,2.90,3.30,普通,斤,2013-06-13
河北白甜瓜,2.50,2.55,2.60,普通,斤,2013-06-13
翠梨甜瓜,1.80,1.85,1.90,普通,斤,2013-06-13
长香玉,2.00,2.10,2.20,普通,斤,2013-06-13
丰甜,0.90,0.95,1.00,普通,斤,2013-06-13
沙白,1.50,1.90,2.30,普通,斤,2013-06-13
京甜5号甜瓜,1.80,1.95,2.10,普通,斤,2013-06-13
绿宝甜瓜,2.70,3.10,3.50,普通,斤,2013-06-13
黄金瓜,0.90,0.95,1.00,普通,斤,2013-06-13
白兰甜瓜,0.90,0.95,1.00,普通,斤,2013-06-13
国产皇帝蕉,3.90,4.05,4.20,普通,斤,2013-06-13
泰国,7.90,7.95,8.00,普通,斤,2013-06-13
南美洲、菲律宾,3.80,3.85,3.90,普通,斤,2013-06-13
国产,2.10,2.60,3.10,普通,斤,2013-06-13
口口爽,1.30,1.50,1.70,普通,斤,2013-06-13
新农8号,1.20,1.25,1.30,普通,斤,2013-06-13
京欣,1.30,1.40,1.50,普通,斤,2013-06-13
红玉,1.70,1.75,1.80,普通,斤,2013-06-13
麒麟,2.50,2.55,2.60,普通,斤,2013-06-13
无籽(小号-大号),2.00,2.00,2.00,普通,斤,2013-06-13
新疆杏,10.00,10.50,11.00,普通,斤,2013-06-13
黄杏(金太阳）,1.00,1.40,1.80,普通,斤,2013-06-13
小李子,2.50,2.75,3.00,普通,斤,2013-06-13
毛桃,3.50,6.00,8.50,普通,斤,2013-06-13
蟠桃,5.00,6.75,8.50,普通,斤,2013-06-13
油桃,1.50,2.50,3.50,普通,斤,2013-06-13
夏橙,1.50,2.25,3.00,普通,斤,2013-06-13
丑橘（云南）,3.30,3.45,3.60,普通,斤,2013-06-13
皇冠梨,2.40,2.55,2.70,普通,斤,2013-06-13
雪花梨,1.20,1.30,1.40,普通,斤,2013-06-13
鸭梨,1.20,1.30,1.40,普通,斤,2013-06-13
桑葚,1.50,2.00,2.50,普通,斤,2013-06-13
杨莓,4.40,5.30,6.20,普通,斤,2013-06-13
柠檬,4.00,4.00,4.00,普通,斤,2013-06-13
木瓜,4.00,4.50,5.00,普通,斤,2013-06-13
箱装菠萝,1.50,1.75,2.00,普通,斤,2013-06-13
先锋,8.00,10.00,12.00,普通,斤,2013-06-16
美早,15.00,16.50,18.00,普通,斤,2013-06-16
红灯,8.00,10.00,12.00,普通,斤,2013-06-16
越荔,5.20,5.35,5.50,普通,斤,2013-06-16
黑叶,3.80,3.90,4.00,普通,斤,2013-06-16
妃子笑,6.00,6.25,6.50,普通,斤,2013-06-16
生苹果芒,4.50,5.00,5.50,普通,斤,2013-06-16
熟象牙,4.50,4.75,5.00,普通,斤,2013-06-16
生象牙,3.50,4.25,5.00,普通,斤,2013-06-16
熟台农,3.20,4.10,5.00,普通,斤,2013-06-16
生台农,3.00,3.75,4.50,普通,斤,2013-06-16
维多利亚,6.00,7.00,8.00,普通,斤,2013-06-16
青提,6.50,6.75,7.00,普通,斤,2013-06-16
红无核,4.00,4.25,4.50,普通,斤,2013-06-16
乒乓球,8.00,10.00,12.00,普通,斤,2013-06-16
黑提,10.00,10.50,11.00,普通,斤,2013-06-16
红提,9.00,10.00,11.00,普通,斤,2013-06-16
巨峰,7.00,9.50,12.00,普通,斤,2013-06-16
晨阳,2.00,2.05,2.10,普通,斤,2013-06-16
富士（纸袋Φ85以上）,3.00,3.30,3.60,普通,斤,2013-06-16
富士（纸袋Φ80<85）,2.50,2.90,3.30,普通,斤,2013-06-16
208甜瓜,1.50,1.55,1.60,普通,斤,2013-06-16
落花甜,2.70,2.75,2.80,普通,斤,2013-06-16
甜宝,2.80,3.30,3.80,普通,斤,2013-06-16
郁金香,1.40,1.45,1.50,普通,斤,2013-06-16
西州蜜,2.00,2.40,2.80,普通,斤,2013-06-16
久红瑞,1.70,1.95,2.20,普通,斤,2013-06-16
甜蜜,2.00,2.05,2.10,普通,斤,2013-06-16
羊角蜜,2.50,2.90,3.30,普通,斤,2013-06-16
河北白甜瓜,1.80,1.95,2.10,普通,斤,2013-06-16
翠梨甜瓜,1.50,1.65,1.80,普通,斤,2013-06-16
长香玉,2.00,2.05,2.10,普通,斤,2013-06-16
丰甜,0.80,0.90,1.00,普通,斤,2013-06-16
沙白,1.50,1.90,2.30,普通,斤,2013-06-16
京甜5号甜瓜,1.80,1.95,2.10,普通,斤,2013-06-16
绿宝甜瓜,2.70,3.00,3.30,普通,斤,2013-06-16
黄金瓜,0.80,0.90,1.00,普通,斤,2013-06-16
白兰甜瓜,0.80,0.90,1.00,普通,斤,2013-06-16
国产皇帝蕉,3.90,4.15,4.40,普通,斤,2013-06-16
泰国,5.70,5.75,5.80,普通,斤,2013-06-16
南美洲、菲律宾,3.80,3.85,3.90,普通,斤,2013-06-16
国产,2.10,2.60,3.10,普通,斤,2013-06-16
墨童,2.80,2.90,3.00,普通,斤,2013-06-16
口口爽,1.20,1.45,1.70,普通,斤,2013-06-16
新农8号,1.10,1.15,1.20,普通,斤,2013-06-16
京欣,1.20,1.35,1.50,普通,斤,2013-06-16
红玉,1.70,1.75,1.80,普通,斤,2013-06-16
麒麟,2.60,2.65,2.70,普通,斤,2013-06-16
无籽(小号-大号),1.80,1.90,2.00,普通,斤,2013-06-16
新疆杏,9.00,9.50,10.00,普通,斤,2013-06-16
白杏、胭脂红杏,1.80,2.15,2.50,普通,斤,2013-06-16
黄杏(金太阳）,0.70,1.10,1.50,普通,斤,2013-06-16
小毛桃,2.00,2.75,3.50,普通,斤,2013-06-16
大毛桃,3.50,6.00,8.50,普通,斤,2013-06-16
蟠桃,5.00,6.75,8.50,普通,斤,2013-06-16
油桃,1.50,2.65,3.80,普通,斤,2013-06-16
夏橙,1.50,2.25,3.00,普通,斤,2013-06-16
丑橘（云南）,3.50,4.00,4.50,普通,斤,2013-06-16
皇冠梨,2.40,2.55,2.70,普通,斤,2013-06-16
雪花梨,1.20,1.30,1.40,普通,斤,2013-06-16
鸭梨,1.20,1.30,1.40,普通,斤,2013-06-16
桑葚,1.50,2.00,2.50,普通,斤,2013-06-16
杨莓,4.40,5.30,6.20,普通,斤,2013-06-16
柠檬,4.00,4.00,4.00,普通,斤,2013-06-16
木瓜,4.00,4.50,5.00,普通,斤,2013-06-16
箱装菠萝,1.50,1.55,1.60,普通,斤,2013-06-16
先锋,5.00,8.50,12.00,普通,斤,2013-06-17
美早,15.00,16.50,18.00,普通,斤,2013-06-17
红灯,5.00,8.50,12.00,普通,斤,2013-06-17
越荔,4.80,4.90,5.00,普通,斤,2013-06-17
黑叶,3.20,3.35,3.50,普通,斤,2013-06-17
荔枝王,9.50,9.75,10.00,普通,斤,2013-06-17
妃子笑,6.00,6.50,7.00,普通,斤,2013-06-17
凯特,7.00,7.25,7.50,普通,斤,2013-06-17
熟象牙,4.00,4.50,5.00,普通,斤,2013-06-17
生象牙,3.50,4.25,5.00,普通,斤,2013-06-17
熟台农,3.50,4.00,4.50,普通,斤,2013-06-17
生台农,3.00,3.75,4.50,普通,斤,2013-06-17
维多利亚,6.50,7.00,7.50,普通,斤,2013-06-17
青提,6.50,6.75,7.00,普通,斤,2013-06-17
红无核,3.00,3.50,4.00,普通,斤,2013-06-17
乒乓球,8.00,10.00,12.00,普通,斤,2013-06-17
黑提,10.00,10.50,11.00,普通,斤,2013-06-17
红提,9.00,10.00,11.00,普通,斤,2013-06-17
巨峰,7.00,9.50,12.00,普通,斤,2013-06-17
晨阳,2.00,2.05,2.10,普通,斤,2013-06-17
富士（纸袋Φ85以上）,3.00,3.30,3.60,普通,斤,2013-06-17
富士（纸袋Φ80<85）,2.50,2.95,3.40,普通,斤,2013-06-17
208甜瓜,1.50,1.55,1.60,普通,斤,2013-06-17
落花甜,2.50,2.50,2.50,普通,斤,2013-06-17
冰糖籽,1.80,1.90,2.00,普通,斤,2013-06-17
甜宝,2.80,3.30,3.80,普通,斤,2013-06-17
郁金香,1.40,1.45,1.50,普通,斤,2013-06-17
西州蜜,2.00,2.40,2.80,普通,斤,2013-06-17
久红瑞,1.70,1.95,2.20,普通,斤,2013-06-17
甜蜜,2.00,2.05,2.10,普通,斤,2013-06-17
羊角蜜,2.20,2.70,3.20,普通,斤,2013-06-17
河北白甜瓜,1.80,1.95,2.10,普通,斤,2013-06-17
翠梨甜瓜,1.50,1.65,1.80,普通,斤,2013-06-17
长香玉,2.00,2.05,2.10,普通,斤,2013-06-17
丰甜,0.80,0.90,1.00,普通,斤,2013-06-17
沙白,1.50,1.90,2.30,�
