品名,最低价,平均价,最高价,规格,单位,发布日期
伽师瓜,2.20,3.00,3.80,普通,斤,2014-12-08
哈密瓜,2.90,3.70,4.50,普通,斤,2014-12-08
泰国香蕉,5.70,6.05,6.40,普通,斤,2014-12-08
南美、菲律宾香蕉,2.70,2.90,3.10,普通,斤,2014-12-08
国产香蕉,2.50,2.60,2.70,普通,斤,2014-12-08
绿宝（皮2）,1.30,1.35,1.40,普通,斤,2014-12-08
墨童西瓜,2.10,2.30,2.50,普通,斤,2014-12-08
风光西瓜,1.80,1.90,2.00,普通,斤,2014-12-08
甜王（境外）,1.20,1.30,1.40,普通,斤,2014-12-08
特小凤.小兰,2.30,2.35,2.40,普通,斤,2014-12-08
黑美人,1.70,1.75,1.80,普通,斤,2014-12-08
麒麟西瓜,3.20,3.35,3.50,普通,斤,2014-12-08
无籽小号-大号,1.10,1.15,1.20,普通,斤,2014-12-08
猕猴桃（秦美）,2.50,2.55,2.60,普通,斤,2014-12-08
猕猴桃（海沃德）,3.50,4.25,5.00,普通,斤,2014-12-08
毛桃（冬桃）,2.80,2.90,3.00,普通,斤,2014-12-08
中华寿桃,5.00,5.50,6.00,普通,斤,2014-12-08
纽荷尔,1.80,2.30,2.80,普通,斤,2014-12-08
胡柚,1.20,1.23,1.25,普通,斤,2014-12-08
蜜柚,1.80,2.00,2.20,普通,斤,2014-12-08
红心蜜柚,3.50,3.65,3.80,普通,斤,2014-12-08
贡柑,3.50,5.00,6.50,普通,斤,2014-12-08
小叶桔,1.20,1.60,2.00,普通,斤,2014-12-08
芦柑,1.50,1.75,2.00,普通,斤,2014-12-08
小金桔,2.20,4.35,6.50,普通,斤,2014-12-08
黄岩叶桔,1.60,1.90,2.20,普通,斤,2014-12-08
鄂、湘、川脐橙,1.40,1.80,2.20,普通,斤,2014-12-08
赣南脐橙Ф70-Ф95,2.00,2.80,3.60,普通,斤,2014-12-08
丑橘,3.50,4.00,4.50,普通,斤,2014-12-08
沙糖桔(中果）,5.60,5.65,5.70,普通,斤,2014-12-08
江西南丰蜜桔,1.90,2.15,2.40,普通,斤,2014-12-08
广西南丰蜜桔,2.70,2.95,3.20,普通,斤,2014-12-08
蜜桔,0.80,1.00,1.20,普通,斤,2014-12-08
酥梨,1.30,1.55,1.80,普通,斤,2014-12-08
红皮梨,4.50,5.00,5.50,普通,斤,2014-12-08
五九香,1.20,1.40,1.60,普通,斤,2014-12-08
红香酥梨,2.00,2.20,2.40,普通,斤,2014-12-08
库尔勒香梨,3.00,3.55,4.10,普通,斤,2014-12-08
红霄梨,1.50,2.00,2.50,普通,斤,2014-12-08
来广梨,2.20,2.45,2.70,普通,斤,2014-12-08
丰水梨,2.50,2.55,2.60,普通,斤,2014-12-08
南果梨,2.20,3.35,4.50,普通,斤,2014-12-08
皇冠梨（标箱）,1.60,2.80,4.00,普通,斤,2014-12-08
雪花梨,1.50,1.65,1.80,普通,斤,2014-12-08
鸭梨,1.50,1.75,2.00,普通,斤,2014-12-08
山楂,1.50,2.40,3.30,普通,斤,2014-12-08
黑枣,3.50,4.00,4.50,普通,斤,2014-12-08
桑葚,5.00,5.50,6.00,普通,斤,2014-12-08
石榴（云南）,3.00,4.50,6.00,普通,斤,2014-12-08
石榴（四川）,2.00,3.50,5.00,普通,斤,2014-12-08
柠檬,6.00,6.50,7.00,普通,斤,2014-12-08
甘蔗,1.10,1.15,1.20,普通,斤,2014-12-08
磨盘柿子,1.00,1.20,1.40,普通,斤,2014-12-08
柿饼,5.00,6.50,8.00,普通,斤,2014-12-08
木瓜,3.20,3.35,3.50,普通,斤,2014-12-08
油栗,6.00,7.00,8.00,普通,斤,2014-12-08
板栗,3.20,3.60,4.00,普通,斤,2014-12-08
法兰帝草莓,10.00,12.00,14.00,普通,斤,2014-12-08
丰香草莓,10.00,14.00,18.00,普通,斤,2014-12-08
红颜草莓,15.00,17.00,19.00,普通,斤,2014-12-08
冬枣,2.50,4.75,7.00,普通,斤,2014-12-08
箱装菠萝,1.70,1.75,1.80,普通,斤,2014-12-08
鄂、湘、川脐橙,1.40,1.80,2.20,普通,斤,2014-12-09
赣南脐橙Ф70-Ф95,2.00,2.80,3.60,普通,斤,2014-12-09
丑橘,3.50,4.00,4.50,普通,斤,2014-12-09
沙糖桔(中果）,5.30,5.30,5.30,普通,斤,2014-12-09
江西南丰蜜桔,1.90,2.10,2.30,普通,斤,2014-12-09
广西南丰蜜桔,2.80,3.00,3.20,普通,斤,2014-12-09
蜜桔,0.80,1.00,1.20,普通,斤,2014-12-09
酥梨,1.30,1.55,1.80,普通,斤,2014-12-09
红皮梨,4.50,5.00,5.50,普通,斤,2014-12-09
五九香,1.20,1.40,1.60,普通,斤,2014-12-09
红香酥梨,2.00,2.20,2.40,普通,斤,2014-12-09
库尔勒香梨,3.00,3.55,4.10,普通,斤,2014-12-09
红霄梨,1.50,2.00,2.50,普通,斤,2014-12-09
来广梨,2.20,2.45,2.70,普通,斤,2014-12-09
丰水梨,2.50,2.55,2.60,普通,斤,2014-12-09
南果梨,2.20,3.35,4.50,普通,斤,2014-12-09
皇冠梨（标箱）,1.80,2.90,4.00,普通,斤,2014-12-09
雪花梨,1.50,1.65,1.80,普通,斤,2014-12-09
鸭梨,1.50,1.75,2.00,普通,斤,2014-12-09
山楂,1.50,2.40,3.30,普通,斤,2014-12-09
黑枣,3.50,4.00,4.50,普通,斤,2014-12-09
桑葚,5.50,5.75,6.00,普通,斤,2014-12-09
石榴（云南）,3.00,4.50,6.00,普通,斤,2014-12-09
石榴（四川）,2.00,3.50,5.00,普通,斤,2014-12-09
柠檬,6.00,6.50,7.00,普通,斤,2014-12-09
甘蔗,1.10,1.15,1.20,普通,斤,2014-12-09
磨盘柿子,1.00,1.20,1.40,普通,斤,2014-12-09
柿饼,5.00,6.50,8.00,普通,斤,2014-12-09
木瓜,3.20,3.35,3.50,普通,斤,2014-12-09
油栗,6.00,7.00,8.00,普通,斤,2014-12-09
板栗,3.20,3.60,4.00,普通,斤,2014-12-09
法兰帝草莓,10.00,12.00,14.00,普通,斤,2014-12-09
丰香草莓,10.00,14.00,18.00,普通,斤,2014-12-09
红颜草莓,15.00,17.00,19.00,普通,斤,2014-12-09
冬枣,2.50,4.75,7.00,普通,斤,2014-12-09
箱装菠萝,1.70,1.75,1.80,普通,斤,2014-12-09
越南香芒,5.50,5.75,6.00,普通,斤,2014-12-09
熟台农大芒果,15.00,15.50,16.00,普通,斤,2014-12-09
熟台农小芒果,10.00,11.00,12.00,普通,斤,2014-12-09
生台农大芒果,13.00,13.50,14.00,普通,斤,2014-12-09
生台农小芒果,7.50,7.75,8.00,普通,斤,2014-12-09
红宝石葡萄,8.00,9.25,10.50,普通,斤,2014-12-09
玫瑰香,7.00,0.00,7.50,普通,斤,2014-12-09
黑提葡萄（夏黑）,9.00,9.00,9.00,普通,斤,2014-12-09
木纳格,4.00,4.25,4.50,普通,斤,2014-12-09
龙眼葡萄,2.70,2.85,3.00,普通,斤,2014-12-09
马奶,6.50,7.25,8.00,普通,斤,2014-12-09
红提葡萄,4.50,7.00,9.50,普通,斤,2014-12-09
巨峰葡萄,3.00,3.75,4.50,普通,斤,2014-12-09
王林苹果,2.40,2.50,2.60,普通,斤,2014-12-09
秦冠（箱）,2.20,2.50,2.80,普通,斤,2014-12-09
国光,1.00,1.60,2.20,普通,斤,2014-12-09
新疆冰糖心(Φ80以上）,4.60,4.80,5.00,普通,斤,2014-12-09
花牛(Φ70-85),2.50,3.35,4.20,普通,斤,2014-12-09
黄元帅,1.50,2.15,2.80,普通,斤,2014-12-09
富士（纸袋Φ85）,3.80,4.65,5.50,普通,斤,2014-12-09
富士（膜袋Φ70-85）,1.50,1.85,2.20,普通,斤,2014-12-09
富士（纸袋Φ70<85）,2.70,3.85,5.00,普通,斤,2014-12-09
翠宝甜瓜,2.80,3.20,3.60,普通,斤,2014-12-09
西州密,3.00,3.20,3.40,普通,斤,2014-12-09
久红瑞,2.50,2.55,2.60,普通,斤,2014-12-09
状元王,2.90,2.95,3.00,普通,斤,2014-12-09
长香玉,2.70,2.75,2.80,普通,斤,2014-12-09
黄金瓜（金蜜）,2.20,2.30,2.40,普通,斤,2014-12-09
伽师瓜,2.20,3.00,3.80,普通,斤,2014-12-09
哈密瓜,2.90,3.70,4.50,普通,斤,2014-12-09
泰国香蕉,5.70,6.05,6.40,普通,斤,2014-12-09
南美、菲律宾香蕉,2.70,2.90,3.10,普通,斤,2014-12-09
国产香蕉,2.50,2.60,2.70,普通,斤,2014-12-09
绿宝（皮2）,1.30,1.35,1.40,普通,斤,2014-12-09
墨童西瓜,2.10,2.30,2.50,普通,斤,2014-12-09
风光西瓜,1.80,1.90,2.00,普通,斤,2014-12-09
甜王（境外）,1.20,1.30,1.40,普通,斤,2014-12-09
特小凤.小兰,2.30,2.35,2.40,普通,斤,2014-12-09
黑美人,1.70,1.75,1.80,普通,斤,2014-12-09
麒麟西瓜,3.20,3.35,3.50,普通,斤,2014-12-09
无籽小号-大号,1.10,1.15,1.20,普通,斤,2014-12-09
猕猴桃（秦美）,2.50,2.55,2.60,普通,斤,2014-12-09
猕猴桃（海沃德）,3.50,4.25,5.00,普通,斤,2014-12-09
毛桃（冬桃）,2.80,2.90,3.00,普通,斤,2014-12-09
中华寿桃,5.00,5.50,6.00,普通,斤,2014-12-09
纽荷尔,1.80,2.30,2.80,普通,斤,2014-12-09
胡柚,1.20,1.23,1.25,普通,斤,2014-12-09
蜜柚,1.60,1.85,2.10,普通,斤,2014-12-09
红心蜜柚,3.50,3.65,3.80,普通,斤,2014-12-09
贡柑,3.50,5.00,6.50,普通,斤,2014-12-09
小叶桔,1.20,1.60,2.00,普通,斤,2014-12-09
芦柑,1.50,1.75,2.00,普通,斤,2014-12-09
小金桔,2.20,4.35,6.50,普通,斤,2014-12-09
黄岩叶桔,1.60,1.90,2.20,普通,斤,2014-12-09
越南香芒,5.50,5.75,6.00,普通,斤,2014-12-10
熟台农大芒果,15.00,15.50,16.00,普通,斤,2014-12-10
熟台农小芒果,10.00,11.00,12.00,普通,斤,2014-12-10
生台农大芒果,13.00,13.50,14.00,普通,斤,2014-12-10
生台农小芒果,7.50,7.75,8.00,普通,斤,2014-12-10
红宝石葡萄,8.00,9.25,10.50,普通,斤,2014-12-10
玫瑰香,7.00,0.00,7.50,普通,斤,2014-12-10
黑提葡萄（夏黑）,9.00,9.00,9.00,普通,斤,2014-12-10
木纳格,4.00,4.25,4.50,普通,斤,2014-12-10
龙眼葡萄,2.70,2.85,3.00,普通,斤,2014-12-10
马奶,6.50,7.25,8.00,普通,斤,2014-12-10
红提葡萄,4.50,7.00,9.50,普通,斤,2014-12-10
巨峰葡萄,3.00,3.75,4.50,普通,斤,2014-12-10
王林苹果,2.40,2.50,2.60,普通,斤,2014-12-10
秦冠（箱）,2.20,2.45,2.70,普通,斤,2014-12-10
国光,1.00,1.60,2.20,普通,斤,2014-12-10
新疆冰糖心(Φ80以上）,5.00,5.20,5.40,普通,斤,2014-12-10
花牛(Φ70-85),2.30,3.25,4.20,普通,斤,2014-12-10
黄元帅,1.50,2.15,2.80,普通,斤,2014-12-10
富士（纸袋Φ85）,3.80,4.65,5.50,普通,斤,2014-12-10
富士（膜袋Φ70-85）,1.50,1.85,2.20,普通,斤,2014-12-10
富士（纸袋Φ70<85）,2.70,3.85,5.00,普通,斤,2014-12-10
翠宝甜瓜,2.80,3.20,3.60,普通,斤,2014-12-10
西州密,3.00,3.20,3.40,普通,斤,2014-12-10
久红瑞,2.50,2.55,2.60,普通,斤,2014-12-10
状元王,2.90,2.95,3.00,普通,斤,2014-12-10
长香玉,2.70,2.75,2.80,普通,斤,2014-12-10
黄金瓜（金蜜）,2.20,2.30,2.40,普通,斤,2014-12-10
伽师瓜,2.20,3.00,3.80,普通,斤,2014-12-10
哈密瓜,2.90,2.95,3.00,普通,斤,2014-12-10
泰国香蕉,5.70,6.05,6.40,普通,斤,2014-12-10
南美、菲律宾香蕉,2.70,2.90,3.10,普通,斤,2014-12-10
国产香蕉,2.50,2.60,2.70,普通,斤,2014-12-10
绿宝（皮2）,1.30,1.35,1.40,普通,斤,2014-12-10
墨童西瓜,2.10,2.30,2.50,普通,斤,2014-12-10
风光西瓜,1.80,1.90,2.00,普通,斤,2014-12-10
甜王（境外）,1.20,1.30,1.40,普通,斤,2014-12-10
特小凤.小兰,2.30,2.35,2.40,普通,斤,2014-12-10
黑美人,1.70,1.75,1.80,普通,斤,2014-12-10
麒麟西瓜,3.20,3.35,3.50,普通,斤,2014-12-10
无籽小号-大号,1.10,1.15,1.20,普通,斤,2014-12-10
猕猴桃（秦美）,2.50,2.55,2.60,普通,斤,2014-12-10
猕猴桃（海沃德）,3.50,4.25,5.00,普通,斤,2014-12-10
中华寿桃,5.00,5.50,6.00,普通,斤,2014-12-10
纽荷尔,1.80,2.30,2.80,普通,斤,2014-12-10
胡柚,1.20,1.23,1.25,普通,斤,2014-12-10
蜜柚,1.60,1.85,2.10,普通,斤,2014-12-10
红心蜜柚,3.50,3.65,3.80,普通,斤,2014-12-10
贡柑,3.50,5.00,6.50,普通,斤,2014-12-10
小叶桔,1.20,1.60,2.00,普通,斤,2014-12-10
芦柑,1.50,1.75,2.00,普通,斤,2014-12-10
小金桔,2.20,4.35,6.50,普通,斤,2014-12-10
黄岩叶桔,1.60,1.90,2.20,普通,斤,2014-12-10
鄂、湘、川脐橙,1.40,1.80,2.20,普通,斤,2014-12-10
赣南脐橙Ф70-Ф95,2.00,2.80,3.60,普通,斤,2014-12-10
丑橘,3.50,4.00,4.50,普通,斤,2014-12-10
沙糖桔(中果）,5.30,5.30,5.30,普通,斤,2014-12-10
江西南丰蜜桔,1.90,2.10,2.30,普通,斤,2014-12-10
广西南丰蜜桔,2.80,3.00,3.20,普通,斤,2014-12-10
蜜桔,0.80,1.00,1.20,普通,斤,2014-12-10
酥梨,1.30,1.55,1.80,普通,斤,2014-12-10
红皮梨,4.50,5.00,5.50,普通,斤,2014-12-10
五九香,1.20,1.40,1.60,普通,斤,2014-12-10
红香酥梨,2.00,2.20,2.40,普通,斤,2014-12-10
库尔勒香梨,3.00,3.45,3.90,普通,斤,2014-12-10
红霄梨,1.50,2.00,2.50,普通,斤,2014-12-10
丰水梨,2.30,2.40,2.50,普通,斤,2014-12-10
南果梨,2.20,3.35,4.50,普通,斤,2014-12-10
皇冠梨（标箱）,1.80,2.90,4.00,普通,斤,2014-12-10
雪花梨,1.70,1.75,1.80,普通,斤,2014-12-10
鸭梨,1.50,1.85,2.20,普通,斤,2014-12-10
山楂,1.50,2.40,3.30,普通,斤,2014-12-10
黑枣,3.50,4.00,4.50,普通,斤,2014-12-10
桑葚,5.50,5.75,6.00,普通,斤,2014-12-10
石榴（云南）,3.00,4.50,6.00,普通,斤,2014-12-10
石榴（四川）,2.00,3.50,5.00,普通,斤,2014-12-10
柠檬,6.00,6.50,7.00,普通,斤,2014-12-10
甘蔗,1.10,1.15,1.20,普通,斤,2014-12-10
磨盘柿子,1.10,1.35,1.60,普通,斤,2014-12-10
柿饼,5.00,6.50,8.00,普通,斤,2014-12-10
木瓜,3.20,3.35,3.50,普通,斤,2014-12-10
油栗,6.00,7.00,8.00,普通,斤,2014-12-10
板栗,3.20,3.60,4.00,普通,斤,2014-12-10
法兰帝草莓,10.00,12.00,14.00,普通,斤,2014-12-10
丰香草莓,10.00,14.00,18.00,普通,斤,2014-12-10
红颜草莓,15.00,17.00,19.00,普通,斤,2014-12-10
冬枣,2.50,4.75,7.00,普通,斤,2014-12-10
箱装菠萝,1.70,1.75,1.80,普通,斤,2014-12-10
越南香芒,5.50,5.75,6.00,普通,斤,2014-12-11
熟台农大芒果,15.00,15.50,16.00,普通,斤,2014-12-11
熟台农小芒果,10.00,11.00,12.00,普通,斤,2014-12-11
生台农大芒果,13.00,13.50,14.00,普通,斤,2014-12-11
生台农小芒果,7.50,7.75,8.00,普通,斤,2014-12-11
红宝石葡萄,8.00,9.25,10.50,普通,斤,2014-12-11
玫瑰香,7.00,0.00,7.50,普通,斤,2014-12-11
黑提葡萄（夏黑）,9.00,9.00,9.00,普通,斤,2014-12-11
木纳格,4.00,4.25,4.50,普通,斤,2014-12-11
龙眼葡萄,2.70,2.85,3.00,普通,斤,2014-12-11
马奶,6.50,7.25,8.00,普通,斤,2014-12-11
红提葡萄,4.50,7.00,9.50,普通,斤,2014-12-11
巨峰葡萄,3.00,3.75,4.50,普通,斤,2014-12-11
王林苹果,2.40,2.50,2.60,普通,斤,2014-12-11
秦冠（箱）,2.20,2.45,2.70,普通,斤,2014-12-11
国光,1.00,1.60,2.20,普通,斤,2014-12-11
新疆冰糖心(Φ80以上）,5.00,5.20,5.40,普通,斤,2014-12-11
花牛(Φ70-85),2.30,3.25,4.20,普通,斤,2014-12-11
黄元帅,2.20,2.45,2.70,普通,斤,2014-12-11
富士（纸袋Φ85）,3.80,4.65,5.50,普通,斤,2014-12-11
富士（膜袋Φ70-85）,1.50,1.85,2.20,普通,斤,2014-12-11
富士（纸袋Φ70<85）,2.70,3.85,5.00,普通,斤,2014-12-11
翠宝甜瓜,2.50,3.00,3.50,普通,斤,2014-12-11
西州密,3.00,3.15,3.30,普通,斤,2014-12-11
久红瑞,2.50,2.55,2.60,普通,斤,2014-12-11
状元王,2.90,2.95,3.00,普通,斤,2014-12-11
长香玉,2.60,2.70,2.80,普通,斤,2014-12-11
黄金瓜（金蜜）,2.20,2.30,2.40,普通,斤,2014-12-11
伽师瓜,2.20,3.00,3.80,普通,斤,2014-12-11
泰国香蕉,5.40,5.55,5.70,普通,斤,2014-12-11
南美、菲律宾香蕉,3.10,3.20,3.30,普通,斤,2014-12-11
国产香蕉,2.70,2.80,2.90,普通,斤,2014-12-11
风光西瓜,1.80,1.90,2.00,普通,斤,2014-12-11
甜王（境外）,1.15,1.20,1.25,普通,斤,2014-12-11
特小凤.小兰,2.40,2.45,2.50,普通,斤,2014-12-11
黑美人,1.50,1.55,1.60,普通,斤,2014-12-11
麒麟西瓜,2.80,3.05,3.30,普通,斤,2014-12-11
无籽小号-大号,1.00,1.10,1.20,普通,斤,2014-12-11
猕猴桃（秦美）,2.50,2.55,2.60,普通,斤,2014-12-11
猕猴桃（海沃德）,3.50,4.25,5.00,普通,斤,2014-12-11
中华寿桃,5.00,5.50,6.00,普通,斤,2014-12-11
纽荷尔,1.40,2.10,2.80,普通,斤,2014-12-11
胡柚,1.20,1.23,1.25,普通,斤,2014-12-11
蜜柚,1.60,1.85,2.10,普通,斤,2014-12-11
红心蜜柚,3.50,3.65,3.80,普通,斤,2014-12-11
贡柑,3.50,5.00,6.50,普通,斤,2014-12-11
小叶桔,1.20,1.60,2.00,普通,斤,2014-12-11
芦柑,1.50,1.75,2.00,普通,斤,2014-12-11
小金桔,2.20,4.35,6.50,普通,斤,2014-12-11
黄岩叶桔,1.60,1.90,2.20,普通,斤,2014-12-11
鄂、湘、川脐橙,1.40,1.90,2.40,普通,斤,2014-12-11
赣南脐橙Ф70-Ф95,2.00,2.85,3.70,普通,斤,2014-12-11
丑橘,3.50,4.00,4.50,普通,斤,2014-12-11
沙糖桔(中果）,5.00,5.00,5.00,普通,斤,2014-12-11
江西南丰蜜桔,1.70,1.85,2.00,普通,斤,2014-12-11
广西南丰蜜桔,2.60,2.80,3.00,普通,斤,2014-12-11
蜜桔,0.80,1.00,1.20,普通,斤,2014-12-11
酥梨,1.30,1.55,1.80,普通,斤,2014-12-11
红皮梨,4.50,5.00,5.50,普通,斤,2014-12-11
五九香,1.20,1.40,1.60,普通,斤,2014-12-11
红香酥梨,2.00,2.20,2.40,普通,斤,2014-12-11
库尔勒香梨,3.00,3.45,3.90,普通,斤,2014-12-11
红霄梨,1.50,2.00,2.50,普通,斤,2014-12-11
丰水梨,2.30,2.40,2.50,普通,斤,2014-12-11
南果梨,2.20,3.35,4.50,普通,斤,2014-12-11
皇冠梨（标箱）,1.80,2.90,4.00,普通,斤,2014-12-11
雪花梨,1.70,1.75,1.80,普通,斤,2014-12-11
鸭梨,1.50,1.85,2.20,普通,斤,2014-12-11
山楂,1.50,2.40,3.30,普通,斤,2014-12-11
黑枣,3.50,4.00,4.50,普通,斤,2014-12-11
桑葚,5.50,5.75,6.00,普通,斤,2014-12-11
石榴（云南）,3.00,4.50,6.00,普通,斤,2014-12-11
石榴（四川）,2.00,3.50,5.00,普通,斤,2014-12-11
柠檬,6.00,6.50,7.00,普通,斤,2014-12-11
甘蔗,1.10,1.15,1.20,普通,斤,2014-12-11
磨盘柿子,1.10,1.35,1.60,普通,斤,2014-12-11
柿饼,5.00,6.50,8.00,普通,斤,2014-12-11
木瓜,3.20,3.35,3.50,普通,斤,2014-12-11
油栗,6.00,7.00,8.00,普通,斤,2014-12-11
板栗,3.20,3.60,4.00,普通,斤,2014-12-11
法兰帝草莓,8.00,9.50,11.00,普通,斤,2014-12-11
甜宝(奶油)草莓,17.00,17.50,18.00,普通,斤,2014-12-11
丰香草莓,13.00,14.50,16.00,普通,斤,2014-12-11
红颜草莓,15.00,17.00,19.00,普通,斤,2014-12-11
冬枣,2.50,4.75,7.00,普通,斤,2014-12-11
箱装菠萝,1.80,1.85,1.90,普通,斤,2014-12-11
越南香芒,5.50,5.75,6.00,普通,斤,2014-12-12
熟台农大芒果,15.00,15.50,16.00,普通,斤,2014-12-12
熟台农小芒果,10.00,10.50,11.00,普通,斤,2014-12-12
生台农大芒果,13.00,13.50,14.00,普通,斤,2014-12-12
生台农小芒果,7.50,7.75,8.00,普通,斤,2014-12-12
红宝石葡萄,8.00,9.25,10.50,普通,斤,2014-12-12
玫瑰香,7.00,0.00,7.50,普通,斤,2014-12-12
黑提葡萄（夏黑）,9.00,9.00,9.00,普通,斤,2014-12-12
木纳格,4.00,4.25,4.50,普通,斤,2014-12-12
龙眼葡萄,2.70,2.85,3.00,普通,斤,2014-12-12
马奶,6.50,7.25,8.00,普通,斤,2014-12-12
红提葡萄,4.50,7.00,9.50,普通,斤,2014-12-12
巨峰葡萄,3.00,3.75,4.50,普通,斤,2014-12-12
王林苹果,2.40,2.50,2.60,普通,斤,2014-12-12
秦冠（箱）,2.20,2.45,2.70,普通,斤,2014-12-12
国光,1.00,1.60,2.20,普通,斤,2014-12-12
新疆冰糖心(Φ80以上）,5.00,5.20,5.40,普通,斤,2014-12-12
花牛(Φ70-85),2.30,3.25,4.20,普通,斤,2014-12-12
黄元帅,2.20,2.45,2.70,普通,斤,2014-12-12
富士（纸袋Φ85）,3.80,4.65,5.50,普通,斤,2014-12-12
富士（膜袋Φ70-85）,1.50,1.85,2.20,普通,斤,2014-12-12
富士（纸袋Φ70<85）,2.70,3.85,5.00,普通,斤,2014-12-12
翠宝甜瓜,2.50,3.00,3.50,普通,斤,2014-12-12
西州密,2.80,3.05,3.30,普通,斤,2014-12-12
久红瑞,2.50,2.55,2.60,普通,斤,2014-12-12
状元王,2.90,2.95,3.00,普通,斤,2014-12-12
长香玉,2.60,2.70,2.80,普通,斤,2014-12-12
黄金瓜（金蜜）,2.20,2.30,2.40,普通,斤,2014-12-12
哈密瓜,2.90,2.95,3.00,普通,斤,2014-12-12
泰国香蕉,5.40,5.55,5.70,普通,斤,2014-12-12
南美、菲律宾香蕉,3.10,3.20,3.30,普通,斤,2014-12-12
国产香蕉,2.70,2.80,2.90,普通,斤,2014-12-12
风光西瓜,1.80,1.90,2.00,普通,斤,2014-12-12
甜王（境外）,1.15,1.20,1.25,普通,斤,2014-12-12
特小凤.小兰,2.40,2.45,2.50,普通,斤,2014-12-12
黑美人,1.50,1.55,1.60,普通,斤,2014-12-12
麒麟西瓜,2.80,3.00,3.20,普通,斤,2014-12-12
无籽小号-大号,1.00,1.05,1.10,普通,斤,2014-12-12
猕猴桃（秦美）,2.50,2.55,2.60,普通,斤,2014-12-12
猕猴桃（海沃德）,3.50,4.25,5.00,普通,斤,2014-12-12
纽荷尔,1.40,2.10,2.80,普通,斤,2014-12-12
胡柚,1.20,1.23,1.25,普通,斤,2014-12-12
蜜柚,1.60,1.85,2.10,普通,斤,2014-12-12
红心蜜柚,3.50,3.65,3.80,普通,斤,2014-12-12
贡柑,3.50,5.00,6.50,普通,斤,2014-12-12
小叶桔,1.20,1.60,2.00,普通,斤,2014-12-12
芦柑,1.50,1.75,2.00,普通,斤,2014-12-12
小金桔,2.20,4.35,6.50,普通,斤,2014-12-12
血橙,2.50,2.75,3.00,普通,斤,2014-12-12
黄岩叶桔,1.60,1.90,2.20,普通,斤,2014-12-12
鄂、湘、川脐橙,1.40,1.90,2.40,普通,斤,2014-12-12
赣南脐橙Ф70-Ф95,2.00,2.85,3.70,普通,斤,2014-12-12
丑橘,3.00,3.75,4.50,普通,斤,2014-12-12
沙糖桔(中果）,5.00,5.00,5.00,普通,斤,2014-12-12
江西南丰蜜桔,1.70,1.85,2.00,普通,斤,2014-12-12
广西南丰蜜桔,2.60,2.80,3.00,普通,斤,2014-12-12
蜜桔,0.70,0.95,1.20,普通,斤,2014-12-12
酥梨,1.30,1.55,1.80,普通,斤,2014-12-12
红皮梨,4.50,5.00,5.50,普通,斤,2014-12-12
五九香,1.20,1.40,1.60,普通,斤,2014-12-12
红香酥梨,2.00,2.20,2.40,普通,斤,2014-12-12
库尔勒香梨,3.00,3.45,3.90,普通,斤,2014-12-12
红霄梨,1.50,2.00,2.50,普通,斤,2014-12-12
丰水梨,2.30,2.40,2.50,普通,斤,2014-12-12
南果梨,2.20,3.35,4.50,普通,斤,2014-12-12
皇冠梨（标箱）,1.80,2.90,4.00,普通,斤,2014-12-12
雪花梨,1.70,1.75,1.80,普通,斤,2014-12-12
鸭梨,1.50,1.85,2.20,普通,斤,2014-12-12
山楂,1.50,2.40,3.30,普通,斤,2014-12-12
黑枣,3.50,4.00,4.50,普通,斤,2014-12-12
桑葚,5.50,5.75,6.00,普通,斤,2014-12-12
石榴（云南）,3.00,4.50,6.00,普通,斤,2014-12-12
石榴（四川）,2.00,3.50,5.00,普通,斤,2014-12-12
柠檬,6.00,6.50,7.00,普通,斤,2014-12-12
甘蔗,1.00,1.10,1.20,普通,斤,2014-12-12
磨盘柿子,1.10,1.35,1.60,普通,斤,2014-12-12
柿饼,5.00,6.50,8.00,普通,斤,2014-12-12
木瓜,3.20,3.35,3.50,普通,斤,2014-12-12
油栗,6.00,7.00,8.00,普通,斤,2014-12-12
板栗,3.20,3.60,4.00,普通,斤,2014-12-12
法兰帝草莓,8.00,9.50,11.00,普通,斤,2014-12-12
甜宝(奶油)草莓,17.00,17.50,18.00,普通,斤,2014-12-12
丰香草莓,13.00,14.50,16.00,普通,斤,2014-12-12
红颜草莓,15.00,17.00,19.00,普通,斤,2014-12-12
冬枣,2.50,4.75,7.00,普通,斤,2014-12-12
箱装菠萝,1.80,1.85,1.90,普通,斤,2014-12-12
泰国香蕉,5.40,5.55,5.70,普通,斤,2014-12-13
南美、菲律宾香蕉,3.10,3.20,3.30,普通,斤,2014-12-13
国产香蕉,2.50,2.70,2.90,普通,斤,2014-12-13
风光西瓜,1.80,1.90,2.00,普通,斤,2014-12-13
甜王（境外）,1.15,1.20,1.25,普通,斤,2014-12-13
特小凤.小兰,2.40,2.45,2.50,普通,斤,2014-12-13
黑美人,1.50,1.55,1.60,普通,斤,2014-12-13
麒麟西瓜,2.80,3.00,3.20,普通,斤,2014-12-13
无籽小号-大号,1.00,1.05,1.10,普通,斤,2014-12-13
猕猴桃（秦美）,2.50,2.55,2.60,普通,斤,2014-12-13
猕猴桃（海沃德）,3.50,4.25,5.00,普通,斤,2014-12-13
纽荷尔,1.40,2.10,2.80,普通,斤,2014-12-13
胡柚,1.20,1.23,1.25,普通,斤,2014-12-13
蜜柚,1.70,1.90,2.10,普通,斤,2014-12-13
